Order ID,Order Date,Month,Customer ID,Region,Channel,Category,Product,Quantity,Unit Price,Unit Cost,Discount,Revenue,Cost,Profit,Rating,Returned
ORD-01061,2024-01-30,2024-01,CUS-0440,North East,Online,Home,Coffee Maker,1,76.28,41,0.05,72.47,41,31.47,4.2,No
ORD-00663,2024-01-30,2024-01,CUS-0339,Scotland,Store,Home,Coffee Maker,5,76.53,41,0.2,306.12,205,101.12,4.9,No
ORD-01038,2024-01-30,2024-01,CUS-0364,London,Online,Beauty,Hair Dryer,2,58.09,29,0.15,98.75,58,40.75,4.7,No
ORD-00895,2024-01-30,2024-01,CUS-0441,North East,Marketplace,Sports,Running Shoes,1,78.2,38,0.2,62.56,38,24.56,4.4,Yes
ORD-00545,2024-01-30,2024-01,CUS-0284,Wales,Online,Fashion,Classic Trainers,1,69.79,32,0.15,59.32,32,27.32,4.8,No
ORD-00489,2024-01-30,2024-01,CUS-0565,London,Marketplace,Electronics,Wireless Headphones,3,85.62,48,0,256.86,144,112.86,3.8,Yes
ORD-00279,2024-01-31,2024-01,CUS-0614,North West,Marketplace,Home,Desk Lamp,2,34.48,17,0,68.96,34,34.96,4.3,No
ORD-00740,2024-01-31,2024-01,CUS-0555,London,Marketplace,Books,Data Analytics Handbook,5,38.46,14,0.1,173.07,70,103.07,4.7,No
ORD-01749,2024-01-31,2024-01,CUS-0238,South West,Online,Beauty,Skin Care Set,1,44.91,18,0,44.91,18,26.91,3.2,Yes
ORD-01744,2024-02-01,2024-02,CUS-0157,North East,Online,Electronics,Smart Watch,5,152.19,92,0.1,684.86,460,224.86,4.6,No
ORD-01476,2024-02-01,2024-02,CUS-0237,Midlands,Store,Sports,Fitness Tracker,3,53.14,27,0.1,143.48,81,62.48,4.6,No
ORD-00105,2024-02-01,2024-02,CUS-0484,South East,Online,Electronics,Smart Watch,5,165.45,92,0,827.25,460,367.25,3.8,No
ORD-00596,2024-02-02,2024-02,CUS-0111,North East,Store,Books,Business Intelligence Guide,2,35.91,12,0.2,57.46,24,33.46,4.2,No
ORD-00648,2024-02-02,2024-02,CUS-0416,Wales,Online,Books,Business Intelligence Guide,4,34.35,12,0.15,116.79,48,68.79,4.5,No
ORD-01316,2024-02-02,2024-02,CUS-0450,North East,Marketplace,Sports,Running Shoes,5,77.57,38,0.15,329.67,190,139.67,4.7,No
ORD-01579,2024-02-03,2024-02,CUS-0505,South West,Online,Electronics,Bluetooth Speaker,1,62.54,34,0,62.54,34,28.54,3.6,No
ORD-01011,2024-02-04,2024-02,CUS-0176,South East,Marketplace,Fashion,Classic Trainers,4,71.04,32,0,284.16,128,156.16,3.7,No
ORD-00139,2024-02-04,2024-02,CUS-0218,Scotland,Marketplace,Home,Desk Lamp,1,35.3,17,0,35.3,17,18.3,4.8,No
ORD-01116,2024-02-04,2024-02,CUS-0227,South East,Store,Beauty,Hair Dryer,3,59.11,29,0,177.33,87,90.33,3.4,No
ORD-01041,2024-02-05,2024-02,CUS-0035,Wales,Online,Books,Data Analytics Handbook,4,39.31,14,0.05,149.38,56,93.38,4.3,No
ORD-00454,2024-02-05,2024-02,CUS-0591,South West,Marketplace,Beauty,Skin Care Set,1,46.95,18,0,46.95,18,28.95,3.6,No
ORD-00562,2024-02-05,2024-02,CUS-0128,North West,Marketplace,Beauty,Skin Care Set,4,47.03,18,0,188.12,72,116.12,3.7,No
ORD-01639,2024-02-05,2024-02,CUS-0424,South West,Online,Electronics,Wireless Headphones,5,93.89,48,0,469.45,240,229.45,5,No
ORD-01307,2024-02-05,2024-02,CUS-0075,Wales,Store,Home,Coffee Maker,5,72.2,41,0,361,205,156,4.1,Yes
ORD-00520,2024-02-05,2024-02,CUS-0440,Wales,Marketplace,Fashion,Classic Trainers,1,68.63,32,0.1,61.77,32,29.77,4,No
ORD-00445,2024-02-05,2024-02,CUS-0602,Scotland,Online,Sports,Running Shoes,4,79.52,38,0.2,254.46,152,102.46,5,No
ORD-01776,2024-02-06,2024-02,CUS-0549,North East,Store,Electronics,Wireless Headphones,3,87.63,48,0.15,223.46,144,79.46,4,No
ORD-01026,2024-02-06,2024-02,CUS-0357,London,Online,Sports,Fitness Tracker,1,57.22,27,0.1,51.5,27,24.5,4.6,No
ORD-00291,2024-02-06,2024-02,CUS-0296,South West,Store,Electronics,Smart Watch,1,158.29,92,0,158.29,92,66.29,3.4,No
ORD-01047,2024-02-07,2024-02,CUS-0090,Midlands,Online,Home,Coffee Maker,3,77.57,41,0.05,221.07,123,98.07,5,Yes
ORD-00934,2024-02-07,2024-02,CUS-0429,Wales,Online,Fashion,Classic Trainers,3,66.88,32,0,200.64,96,104.64,3.9,No
ORD-00028,2024-02-07,2024-02,CUS-0226,Wales,Store,Fashion,Winter Jacket,2,94.3,46,0,188.6,92,96.6,4.3,Yes
ORD-01762,2024-02-07,2024-02,CUS-0513,Midlands,Marketplace,Home,Air Fryer,5,124.19,69,0.1,558.86,345,213.86,3.3,No
ORD-01249,2024-02-07,2024-02,CUS-0294,Midlands,Store,Sports,Fitness Tracker,1,57.58,27,0.15,48.94,27,21.94,5,No
ORD-00954,2024-02-07,2024-02,CUS-0411,Midlands,Store,Electronics,Bluetooth Speaker,4,67.17,34,0.15,228.38,136,92.38,3.6,No
ORD-00003,2024-02-07,2024-02,CUS-0441,South East,Online,Sports,Fitness Tracker,4,52.53,27,0.2,168.1,108,60.1,4.6,No
ORD-01465,2024-02-08,2024-02,CUS-0252,North East,Marketplace,Beauty,Skin Care Set,1,45.39,18,0.15,38.58,18,20.58,4.3,No
ORD-01001,2024-02-08,2024-02,CUS-0586,Midlands,Store,Sports,Yoga Mat,1,29.47,12,0.05,28,12,16,3.5,No
ORD-00327,2024-02-08,2024-02,CUS-0325,Wales,Online,Electronics,Bluetooth Speaker,2,61.96,34,0.15,105.33,68,37.33,3.6,No
ORD-01510,2024-02-08,2024-02,CUS-0195,London,Online,Electronics,Bluetooth Speaker,4,65.47,34,0.2,209.5,136,73.5,4,No
ORD-00547,2024-02-08,2024-02,CUS-0400,North West,Online,Sports,Yoga Mat,1,28.56,12,0.1,25.7,12,13.7,3.7,No
ORD-00241,2024-02-09,2024-02,CUS-0578,North East,Online,Home,Coffee Maker,1,73.27,41,0,73.27,41,32.27,3.9,No
ORD-01265,2024-02-09,2024-02,CUS-0093,North East,Marketplace,Home,Coffee Maker,4,71.37,41,0,285.48,164,121.48,4.5,No
ORD-00847,2024-02-09,2024-02,CUS-0121,North West,Store,Electronics,Wireless Headphones,5,86.86,48,0,434.3,240,194.3,4.6,No
ORD-01683,2024-02-10,2024-02,CUS-0024,London,Store,Beauty,Hair Dryer,1,61.25,29,0.15,52.06,29,23.06,3.5,No
ORD-00811,2024-02-11,2024-02,CUS-0281,London,Store,Home,Desk Lamp,2,35.28,17,0.2,56.45,34,22.45,4.1,No
ORD-00239,2024-02-12,2024-02,CUS-0419,Scotland,Store,Electronics,Wireless Headphones,1,87.27,48,0.15,74.18,48,26.18,4.6,No
ORD-01520,2024-02-12,2024-02,CUS-0425,Wales,Online,Electronics,Smart Watch,1,165.26,92,0,165.26,92,73.26,3.9,No
ORD-01584,2024-02-12,2024-02,CUS-0487,Scotland,Store,Fashion,Backpack,2,49.37,21,0,98.74,42,56.74,3.4,No
ORD-00360,2024-02-13,2024-02,CUS-0533,Scotland,Online,Electronics,Wireless Headphones,1,89.31,48,0.15,75.91,48,27.91,3.3,No
ORD-00713,2024-02-13,2024-02,CUS-0239,Midlands,Online,Electronics,Smart Watch,5,155.11,92,0.1,698,460,238,5,No
ORD-01094,2024-02-13,2024-02,CUS-0259,Scotland,Online,Home,Coffee Maker,4,74.21,41,0.15,252.31,164,88.31,3.8,No
ORD-01702,2024-02-14,2024-02,CUS-0127,Wales,Online,Sports,Fitness Tracker,5,56.76,27,0,283.8,135,148.8,3.7,No
ORD-00101,2024-02-15,2024-02,CUS-0603,Midlands,Store,Electronics,Bluetooth Speaker,4,65.89,34,0.15,224.03,136,88.03,4.9,No
ORD-00703,2024-02-15,2024-02,CUS-0223,North West,Online,Books,Business Intelligence Guide,3,35.41,12,0,106.23,36,70.23,4.4,No
ORD-01502,2024-02-16,2024-02,CUS-0189,Scotland,Online,Sports,Running Shoes,5,80.09,38,0.15,340.38,190,150.38,4.4,No
ORD-00790,2024-02-16,2024-02,CUS-0446,North East,Online,Fashion,Classic Trainers,3,69.36,32,0,208.08,96,112.08,5,No
ORD-01328,2024-02-17,2024-02,CUS-0476,London,Store,Fashion,Winter Jacket,5,96.65,46,0.05,459.09,230,229.09,4.4,No
ORD-00480,2024-02-17,2024-02,CUS-0388,Scotland,Store,Beauty,Skin Care Set,1,46.96,18,0,46.96,18,28.96,5,No
ORD-01270,2024-02-17,2024-02,CUS-0042,North East,Store,Home,Desk Lamp,3,34.15,17,0.15,87.08,51,36.08,4.2,No
ORD-01010,2024-02-18,2024-02,CUS-0122,London,Store,Home,Air Fryer,2,122.37,69,0,244.74,138,106.74,4.6,No
ORD-00503,2024-02-18,2024-02,CUS-0351,Wales,Online,Home,Coffee Maker,4,76.8,41,0,307.2,164,143.2,4.8,No
ORD-00830,2024-02-18,2024-02,CUS-0166,Scotland,Store,Home,Desk Lamp,1,35.41,17,0.15,30.1,17,13.1,4.9,No
ORD-01800,2024-02-18,2024-02,CUS-0444,London,Marketplace,Beauty,Skin Care Set,3,44.12,18,0.15,112.51,54,58.51,4.5,No
ORD-00229,2024-02-19,2024-02,CUS-0223,South East,Store,Sports,Yoga Mat,3,29.19,12,0,87.57,36,51.57,4.5,No
ORD-01627,2024-02-19,2024-02,CUS-0555,Wales,Online,Electronics,Bluetooth Speaker,4,67.25,34,0.2,215.2,136,79.2,4.9,No
ORD-01674,2024-02-20,2024-02,CUS-0508,Wales,Online,Sports,Yoga Mat,3,31.07,12,0,93.21,36,57.21,4.5,No
ORD-01096,2024-02-20,2024-02,CUS-0031,Scotland,Marketplace,Home,Coffee Maker,2,72.75,41,0,145.5,82,63.5,3.9,No
ORD-00803,2024-02-21,2024-02,CUS-0080,North West,Online,Books,Data Analytics Handbook,3,39.98,14,0,119.94,42,77.94,3.8,No
ORD-00077,2024-02-23,2024-02,CUS-0460,North West,Marketplace,Books,Data Analytics Handbook,4,40.92,14,0,163.68,56,107.68,4.2,No
ORD-00959,2024-02-23,2024-02,CUS-0082,South East,Marketplace,Electronics,Bluetooth Speaker,5,63.63,34,0.15,270.43,170,100.43,4.8,No
ORD-00684,2024-02-23,2024-02,CUS-0151,North East,Marketplace,Home,Desk Lamp,2,36.67,17,0.15,62.34,34,28.34,4.7,No
ORD-01580,2024-02-23,2024-02,CUS-0157,North East,Online,Electronics,Wireless Headphones,5,89.11,48,0,445.55,240,205.55,4.4,No
ORD-01372,2024-02-24,2024-02,CUS-0573,Scotland,Marketplace,Home,Desk Lamp,2,34.04,17,0,68.08,34,34.08,4.9,No
ORD-00656,2024-02-24,2024-02,CUS-0546,Wales,Marketplace,Home,Air Fryer,3,116.63,69,0,349.89,207,142.89,4.8,No
ORD-00873,2024-02-24,2024-02,CUS-0496,London,Marketplace,Beauty,Hair Dryer,2,58.59,29,0,117.18,58,59.18,3.9,No
ORD-00095,2024-02-25,2024-02,CUS-0081,North East,Online,Books,Data Analytics Handbook,3,39.72,14,0.2,95.33,42,53.33,4.2,No
ORD-01600,2024-02-25,2024-02,CUS-0210,Wales,Marketplace,Books,Business Intelligence Guide,5,34.04,12,0,170.2,60,110.2,5,No
ORD-00246,2024-02-25,2024-02,CUS-0069,North East,Store,Sports,Running Shoes,5,80.3,38,0,401.5,190,211.5,3.5,No
ORD-00616,2024-02-26,2024-02,CUS-0159,South West,Store,Books,Business Intelligence Guide,1,34.2,12,0.2,27.36,12,15.36,3.4,No
ORD-00050,2024-02-26,2024-02,CUS-0463,London,Marketplace,Home,Air Fryer,2,125.87,69,0.05,239.15,138,101.15,3.9,No
ORD-01485,2024-02-26,2024-02,CUS-0336,North West,Store,Home,Coffee Maker,4,78.38,41,0.15,266.49,164,102.49,4.8,No
ORD-00341,2024-02-27,2024-02,CUS-0405,Midlands,Store,Electronics,Bluetooth Speaker,3,62.01,34,0.05,176.73,102,74.73,3.9,No
ORD-00165,2024-02-27,2024-02,CUS-0522,London,Marketplace,Fashion,Backpack,4,49.91,21,0,199.64,84,115.64,3.4,No
ORD-01363,2024-02-27,2024-02,CUS-0238,Scotland,Store,Electronics,Wireless Headphones,3,87.11,48,0,261.33,144,117.33,4.5,No
ORD-01477,2024-02-28,2024-02,CUS-0204,North West,Online,Beauty,Hair Dryer,4,61.46,29,0,245.84,116,129.84,4.5,No
ORD-01469,2024-02-28,2024-02,CUS-0464,Scotland,Store,Sports,Fitness Tracker,4,53.72,27,0,214.88,108,106.88,4.5,No
ORD-01563,2024-02-28,2024-02,CUS-0605,South West,Online,Electronics,Bluetooth Speaker,3,68.22,34,0,204.66,102,102.66,3.2,No
ORD-00262,2024-02-28,2024-02,CUS-0501,North West,Marketplace,Fashion,Winter Jacket,3,95.72,46,0.2,229.73,138,91.73,4.6,No
ORD-00997,2024-02-29,2024-02,CUS-0520,Scotland,Store,Books,Business Intelligence Guide,3,34.91,12,0.1,94.26,36,58.26,5,No
ORD-01271,2024-02-29,2024-02,CUS-0217,North East,Store,Sports,Yoga Mat,3,29.98,12,0.2,71.95,36,35.95,4.5,Yes
ORD-00868,2024-03-01,2024-03,CUS-0462,Midlands,Store,Sports,Fitness Tracker,1,52.25,27,0.05,49.64,27,22.64,4.9,No
ORD-01394,2024-03-01,2024-03,CUS-0053,North West,Marketplace,Books,Business Intelligence Guide,3,35.89,12,0,107.67,36,71.67,3.4,No
ORD-01662,2024-03-02,2024-03,CUS-0497,Scotland,Online,Fashion,Backpack,4,48.11,21,0.05,182.82,84,98.82,4.6,Yes
ORD-01562,2024-03-03,2024-03,CUS-0364,North East,Online,Sports,Running Shoes,3,81.48,38,0.2,195.55,114,81.55,4.6,No
ORD-01230,2024-03-03,2024-03,CUS-0169,London,Marketplace,Electronics,Smart Watch,5,154.81,92,0.1,696.65,460,236.65,4.3,No
ORD-00394,2024-03-03,2024-03,CUS-0311,Midlands,Online,Home,Desk Lamp,4,33.46,17,0.2,107.07,68,39.07,3.5,Yes
ORD-01544,2024-03-03,2024-03,CUS-0476,Wales,Online,Books,Data Analytics Handbook,4,38,14,0.1,136.8,56,80.8,4.2,No
ORD-01532,2024-03-03,2024-03,CUS-0534,Scotland,Marketplace,Electronics,Bluetooth Speaker,4,64.64,34,0,258.56,136,122.56,5,No
ORD-01113,2024-03-04,2024-03,CUS-0355,Midlands,Store,Sports,Fitness Tracker,4,56.57,27,0,226.28,108,118.28,5,Yes
ORD-00637,2024-03-06,2024-03,CUS-0264,Midlands,Store,Home,Coffee Maker,5,76.4,41,0,382,205,177,3.3,No
ORD-00108,2024-03-06,2024-03,CUS-0375,London,Store,Home,Desk Lamp,5,36.33,17,0.05,172.57,85,87.57,4.1,No
ORD-01539,2024-03-06,2024-03,CUS-0043,North East,Marketplace,Home,Desk Lamp,4,35.29,17,0,141.16,68,73.16,3.9,Yes
ORD-00358,2024-03-06,2024-03,CUS-0575,South East,Online,Beauty,Hair Dryer,1,60.03,29,0.15,51.03,29,22.03,4.8,No
ORD-00167,2024-03-06,2024-03,CUS-0549,South West,Store,Electronics,Smart Watch,5,159.19,92,0.1,716.36,460,256.36,4.2,No
ORD-00408,2024-03-06,2024-03,CUS-0406,Scotland,Online,Electronics,Smart Watch,3,164.67,92,0,494.01,276,218.01,4.7,No
ORD-01022,2024-03-07,2024-03,CUS-0273,South East,Store,Beauty,Skin Care Set,4,44.41,18,0.05,168.76,72,96.76,5,No
ORD-01419,2024-03-07,2024-03,CUS-0097,Wales,Store,Home,Desk Lamp,4,35.24,17,0,140.96,68,72.96,3.4,No
ORD-00464,2024-03-07,2024-03,CUS-0170,Midlands,Store,Home,Desk Lamp,3,36.48,17,0,109.44,51,58.44,3.4,No
ORD-01708,2024-03-08,2024-03,CUS-0324,South East,Online,Sports,Running Shoes,2,83.74,38,0.1,150.73,76,74.73,4.4,No
ORD-01367,2024-03-08,2024-03,CUS-0129,London,Online,Beauty,Skin Care Set,3,46.29,18,0.15,118.04,54,64.04,3.4,No
ORD-01487,2024-03-08,2024-03,CUS-0312,South East,Online,Sports,Yoga Mat,2,29.29,12,0,58.58,24,34.58,3.4,No
ORD-00414,2024-03-08,2024-03,CUS-0288,Scotland,Online,Home,Coffee Maker,3,77.63,41,0.05,221.25,123,98.25,5,No
ORD-01753,2024-03-09,2024-03,CUS-0270,Midlands,Marketplace,Fashion,Backpack,3,52.32,21,0.15,133.42,63,70.42,3.6,No
